"1","Aesculus hippocastanum","Produtos com ação sobre o aparelho cardiovascular","Sementes","Alívio dos sintomas relacionados a inchaços nas pernas, veias varicosas, sensação de peso, dor, cansaço, coceira, tensão nas pernas e câimbras na panturrilha. Restrições: uso oral."
"2","Aloe ferox+Gentiana lutea","Digestivos, hepatoprotetores, colagogos e coleréticos com ou sem efeito antiespasmódico","Rizoma + folhas","Auxiliar no funcionamento da vesícula biliar. Auxiliar no tratamento dos sintomas da dispepsia funcional. Prevenção e tratamento auxiliar de distúrbios hepáticos e dos distúrbios gastrointestinais espásticos. Digestivo. Uso oral."
"3","Aloe vera","Anti-inflamatórios. Cicatrizantes com ação anti-inflamatória","Folhas","Cicatrizante, destinado ao tratamento de queimaduras térmicas leves. Anti-inflamatório. Auxiliar no tratamento dos sintomas das dispepsias funcionais e dos distúrbios gastrointestinais espásticos (uso oral). Anti-inflamatório (uso tópico)."
"4","Arnica montana","Produtos com ação na pele e mucosas","Capítulo floral","Alívio dos sintomas de equimoses, hematomas e contusões. Uso tópico."
"5","Atropa belladona","Antiespasmódicos e anticolinérgicos gastrointestinais","Folhas","Alívio dos sintomas de cólicas e espasmos gastrintestinais. Uso oral."
"6","Calendula officinalis","Anti-inflamatórios. Cicatrizantes com ação anti-inflamatória","Flores","Cicatrizante, destinado ao tratamento de queimaduras térmicas leves. Anti-inflamatório. Auxiliar no tratamento dos sintomas das dispepsias funcionais e dos distúrbios gastrointestinais espásticos (uso oral). Anti-inflamatório (uso tópico)."
"7","Cassia fistula + Senna alexandrina","Laxantes irritantes ou estimulantes","Fruto + folhas","Constipação ocasional. Uso oral."
"8","Centella asiatica","Produtos com ação sobre o aparelho cardiovascular","Partes aéreas","Alívio dos sintomas relacionados a inchaços nas pernas, veias varicosas, sensação de peso, dor, cansaço, coceira, tensão nas pernas e câimbras na panturrilha. Uso oral."
"9","Cinchona calisaya","Estimulantes do apetite","Casca","Estimulante do apetite e para cansaço físico e mental. Uso oral."
"10","Cinnamomum zeylanicum + Caryophyllus aromaticus","Outros produtos para o aparelho digestivo e metabolismo","Cascas + botões florais","Antiflatulento em casos de problemas digestivos. Uso oral."
"11","Crataegus oxyacantha + Salix alba + Passiflora incarnata","Ansiolíticos","Flores + casca + flores","Ansiolítico leve. Auxiliar no tratamento da ansiedade leve e da insônia. Uso oral."
"12","Cynara scolymus","Digestivos, hepatoprotetores, colagogos e coleréticos com ou sem efeito antiespasmódico","Folhas","Auxiliar no funcionamento da vesícula biliar. Auxiliar no tratamento dos sintomas da dispepsia funcional. Prevenção e tratamento auxiliar de distúrbios hepáticos e dos distúrbios gastrointestinais espásticos. Digestivo. Uso oral."
"13","Cynara scolymus + Peumus boldus","Digestivos, hepatoprotetores, colagogos e coleréticos com ou sem efeito antiespasmódico","Folhas + folhas","Auxiliar no funcionamento da vesícula biliar. Auxiliar no tratamento dos sintomas da dispepsia funcional. Prevenção e tratamento auxiliar de distúrbios hepáticos e dos distúrbios gastrointestinais espásticos. Digestivo. Uso oral."
"14","Eucaliptus globulus","Expectorantes","Folhas","Antisséptico das vias aéreas superiores e expectorante. Broncodilatador. Uso oral."
"15","Gentiana lutea + Chamaemelum nobile","Digestivos, hepatoprotetores, colagogos e coleréticos com ou sem efeito antiespasmódico","Rizoma + raiz","Auxiliar no funcionamento da vesícula biliar. Auxiliar no tratamento dos sintomas da dispepsia funcional. Prevenção e tratamento auxiliar de distúrbios hepáticos e dos distúrbios gastrointestinais espásticos. Digestivo. Uso oral."
"16","Glycine max","Produtos para uso em ginecologia","Sementes","Auxiliar no alívio dos sintomas do climatério. Uso oral."
"17","Glycyrrhiza glabra","Antiulcerosos","Raízes","Alívio dos sintomas digestivos incluindo queimação e dispepsia. Uso oral."
"18","Hamamelis virginiana","Antihemorroidários tópicos e/ou terapia varicosa inclusive antihemorroidário","Folhas","Auxiliar no tratamento de hemorroidas externas e equimoses (uso tópico). Alívio do prurido e ardor associados a hemorroidas (uso oral)."
"19","Harpagophytum procumbens","Anti-inflamatórios ou antirreumáticos simples","Raízes secundárias","Alívio de dores articulares menores e dor lombar aguda. Uso oral."
"20","Hedera helix","Expectorantes","Folhas","Expectorante em caso de tosse produtiva. Uso oral."
"21","Matricaria chamomilla + Gentiana lutea + Nux vomica + Peumus boldus","Antiespasmódico","Flores + rizoma e raízes + sementes + folhas","Auxiliar no tratamento dos sintomas das dispepsias. Uso oral."
"22","Matricaria recutita","Anti-inflamatórios. Cicatrizantes com ação anti-inflamatória","Capítulos florais","Cicatrizante, destinado ao tratamento de queimaduras térmicas leves. Anti-inflamatório. Auxiliar no tratamento dos sintomas das dispepsias funcionais e dos distúrbios gastrointestinais espásticos (uso oral). Anti-inflamatório (uso tópico)."
"23","Maytenus ilicifolia","Antiulcerosos","Folhas","Alívio dos sintomas digestivos incluindo queimação e dispepsia. Uso oral."
"24","Maytenus ilicifolia + Jateoriza palmata","Outros produtos para o aparelho digestivo e metabolismo","Folhas + raízes","Auxiliar no tratamento dos sintomas das dispepsias funcionais, principalmente na dor epigástrica. Uso oral."
"25","Melissa officinalis","Antiespasmódico, ansiolítico, cicatrizantes","Folhas","Antiflatulento (combate gases), antiespasmódico e ansiolítico leve. Uso oral."
"26","Mikania glomerata","Expectorantes","Folhas","Antisséptico das vias aéreas superiores e expectorante. Broncodilatador. Uso oral."
"27","Mikania glomerata + Polygala senega + Cephaelis ipecacuanha","Expectorantes","Folhas + raízes + raízes","Antitussígeno, broncodilatador e expectorante. Uso oral."
"28","Nasturtium officinale","Expectorantes","Partes aéreas","Antisséptico das vias aéreas superiores e expectorante. Broncodilatador. Uso oral."
"29","Operculina alata","Laxantes irritantes ou estimulantes","Raiz","Laxativo, nos casos de constipação funcional aguda. Uso oral."
"30","Panax ginseng","Neurotônico","Raiz","Para cansaço físico e mental. Uso oral."
"31","Passiflora alata + Erythrina mulungu + Crataegus oxycanta","Ansiolíticos","Folhas + casca + flores e folhas","Ansiolítico leve. Auxiliar no tratamento da ansiedade leve e da insônia. Uso oral."
"32","Passiflora incarnata","Ansiolíticos","Partes aéreas","Ansiolítico leve. Auxiliar no tratamento da ansiedade leve e da insônia. Uso oral."
"33","Passiflora incarnata + Crataegus oxyacanta + Salix alba","Ansiolíticos","Flores e folhas + flores e folhas + casca","Ansiolítico leve. Auxiliar no tratamento da ansiedade leve e da insônia. Uso oral."
"34","Paullinia cupana","Neurotônico","Semente","Para cansaço físico e mental. Uso oral."
"35","Peumus boldus","Digestivos, hepatoprotetores, colagogos e coleréticos com ou sem efeito antiespasmódico","Folhas","Auxiliar no funcionamento da vesícula biliar. Auxiliar no tratamento dos sintomas da dispepsia funcional. Prevenção e tratamento auxiliar de distúrbios hepáticos e dos distúrbios gastrointestinais espásticos. Digestivo. Uso oral."
"36","Peumus boldus + Frangula purshiana + Rheum palmatum","Digestivos, hepatoprotetores, colagogos e coleréticos com ou sem efeito antiespasmódico","Folha + casca + rizoma e raiz","Auxiliar no funcionamento da vesícula biliar. Auxiliar no tratamento dos sintomas da dispepsia funcional. Prevenção e tratamento auxiliar de distúrbios hepáticos e dos distúrbios gastrointestinais espásticos. Digestivo. Uso oral."
"37","Plantago ovata","Laxantes incrementadores do bolo intestinal","Casca da semente","Auxiliar no tratamento de constipação intestinal. Constipação ocasional. Uso oral."
"38","Plantago ovata + Senna alexandrina","Laxantes incrementadores do bolo intestinal","Semente e casca da semente + frutos","Auxiliar no tratamento de constipação intestinal. Constipação ocasional. Uso oral."
"39","Polygala senega","Produtos para o aparelho respiratório","Raízes","Auxiliar no tratamento dos sintomas da bronquite crônica e da faringite. Uso oral."
"40","Polypodium leucatomos Poir","Anti-inflamatório","Partes aéreas","Anti-inflamatório na profilaxia de irritação da pele agravada pelo sol. Uso oral."
"41","Rhamnus purshiana","Laxantes irritantes ou estimulantes","Casca","Constipação ocasional. Uso oral."
"42","Rhodiola rosea","Psicoestimulantes","Rizoma e raiz","Alívio temporário dos sintomas do estress, tais como fadiga e sensação de fraqueza. Uso oral."
"43","Salix alba","Analgésicos, anti-inflamatórios","Casca","Antitérmico, anti-inflamatório e analgésico. Uso oral."
"44","Senna alexandrina","Laxantes irritantes ou estimulantes","Folhas e frutos","Constipação ocasional. Uso oral."
"45","Serenoa repens","Produtos com ação no trato urinário","Frutos","Alívio dos sintomas do trato urinário baixo relacionados a hiperplasia prostática benigna depois que condições mais sérias tenham sido excluídas por um médico. Uso oral."
"46","Silybum marianum","Digestivos, hepatoprotetores, colagogos e coleréticos com ou sem efeito antiespasmódico","Frutos sem papilho","Auxiliar no funcionamento da vesícula biliar. Auxiliar no tratamento dos sintomas da dispepsia funcional. Prevenção e tratamento auxiliar de distúrbios hepáticos e dos distúrbios gastrointestinais espásticos. Digestivo. Uso oral."
"47","Solidago microglossa","Analgésicos, anti-inflamatórios","Partes aéreas","Anti-inflamatório nos casos de contusões, dores musculares e hematomas (uso tópico). Anti-inflamatório (uso oral)."
"48","Symphytum officinale","Analgésicos, anti-inflamatórios","Raiz","Alívio sintomático de entorses leves e contusões. Uso tópico."
"49","Trichilia catigua + Croton heliotropiifolius + Paullinia cupana","Neurotônico","Cascas do caule + caules + sementes","Para cansaço físico e mental. Uso oral."
"50","Uncaria tomentosa","Analgésicos, anti-inflamatórios","Casca do caule e raiz","Anti-inflamatório. Uso oral."
"51","Vitis vinífera","Produtos com ação sobre o aparelho cardiovascular","Folhas","Alívio dos sintomas relacionados a inchaços nas pernas, veias varicosas, sensação de peso, dor, cansaço, coceira, tensão nas pernas e câimbras na panturrilha. Uso oral."
"52","Zingiber officinale","Antieméticos e antinauseantes","Rizomas","Profilaxia de náuseas causadas por movimento (cinetose) e pós-cirúrgicas. Uso oral."